OBJECTID_1,OBJECTID,DIGEST,SITUS,TAXPIN,PARID,ATRPIN,TAX_DISTR,OWNER,OWPART2,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS5,LUC,NBHD,PROP_CLASS,CLASS,TOT_APPR,TOT_ASSESS,IMPR_APPR,LAND_APPR,FUL_EX_COD,VAL_ACRES,STRUCT_FLR,STRUCT_YR,TIEBACK,TAXYEAR,STATUS_COD,LIV_UNITS,PCODE,UNIT_NUM,EXTVER,PIN,OLD_ID,STR_NUMBER,ATLPIN,GIS_LAND_P,TaxPin_joi,address_no,taxpin4,APN,PARID_1,LandUse_Description,NPU,Neighborhood_Name,PARID_no_s,SCI_Landuse,Photographs,Lot_Condition,Structure_Condition,Sidewalks,Multiple_Violations
5700,5000,2010,247 MORELANDALS RD,14 00130011072,14 001300110722,14 -0013-0011-072-2,5,GEORGIA ALABAMA COMMERCIAL INVESTMENTS, ,2875 UNIVERSITY PKWY,LAWRENCEVILLE GA 30043, , ,334,CA07,C3,C,453000,181200,95640,85560, ,0,0,1986, ,2010,6,0, ,72,20101028,14 00130011072,1.40E+12,247 MORELANDALS RD, ,0, 14 00130011072,0,1072, ,14 001300110722,SERVICE STATION W/O BAYS 334,N,Reynoldstown,1.40E+12,C,0, , , , 
5957,4852,2010,142 FLAT SHOALS AVE SE,14 00130009053,14 001300090536,14 -0013-0009-053-6,5,ASHER ABRAHAM, ,1467 BILTMORE DR,ATLANTA GA 30329, , ,348,CA07,C3,C,121000,48400,26200,22200, ,0,0,0, ,2010,6,0, ,53,20101028,14 00130009053,1.40E+12,142 FLAT SHOALS AVE SE, ,0, 14 00130009053,0,9053, ,14 001300090536,CONVENIENCE FOOD MARKET 348,N,Reynoldstown,1.40E+12,C,photos\51\139185\img_rpt-javioushill_at_yahoo_dot_com-2012-3-22-14-3-33_1.jpg,Good,Good,Yes,N
7489,6904,2010,664 CLEBURNE TER NE,14 00160011085,14 001600110851,14 -0016-0011-085-1,5,ATL PX LLC, ,5370 OAKDALE RD,TAX DEPT,SMYRNA GA 30082, ,347,CA02,C4,C,7323000,2929200,1119000,1810200, ,3.36,0,2001, ,2010,6,0, ,85,20101028,14 00160011085,1.40E+12,664 CLEBURNE TER NE, ,0, 14 00160011085,0,1085, ,14 001600110851,SUPERMARKET 347,N,Poncey-Highland,1.40E+12,C,photos\123\180735\img_rpt-shandra_at_tapinspect_dot_com-2012-5-25-11-39-39_1.jpg,Good,No Structure,Yes,N
7862,7006,2010,1161 PONCE DE LEON AVE NE,14 00160013023,14 001600130230,14 -0016-0013-023-0,5,FLOCO LLC, ,PO BOX 1565,LAWRENCEVILLE GA 30046, , ,333,CA02,C3,C,1343700,537480,58000,479480, ,0.69,0,1970, ,2010,6,3, ,23,20101028,14 00160013023,1.40E+12,1161 PONCE DE LEON AVE NE, ,0, 14 00160013023,0,3023, ,14 001600130230,SERVICE STATION WITH BAYS 333,N,Poncey-Highland,1.40E+12,C,photos\125\151772\img_rpt-zack_at_tapinspect_dot_com-2012-4-12-12-30-59_1.jpg,Fair,Fair,Yes,N
8280,7924,2010,699 PONCE DE LEON AVE NE,14 00170011067,14 001700110678,14 -0017-0011-067-8,5,KROGER CO THE, ,2175 PARKLAKE DR NE,ATTN: REAL ESTATE DEP,ATLANTA GA 30345, ,347,CA02,C4,C,10555700,4222280,1184360,3037920, ,0,0,1986, ,2010,6,0, ,67,20101028,14 00170011067,1.40E+12,699 PONCE DE LEON AVE NE, ,0, 14 00170011067,0,1067, ,14 001700110678,SUPERMARKET 347,N,Poncey-Highland,1.40E+12,C,0, , , , 
9516,10853,2010,GLENWOOD AVE SE,14 00210004081,14 002100040812,14 -0021-0004-081-2,5,SADLER JANIE, ,428 BOULEVARD SE,ATLANTA GA 30312 3426, , ,323,C902,C3,C,69400,27760,19400,8360, ,0,0,1999, ,2010,6,0, ,81,20101028,14 00210004081,1.40E+12,GLENWOOD AVE SE, ,0, 14 00210004081,0,4081, ,14 002100040812,FOOD STANDS 323,W,Grant Park,1.40E+12,C,0, , , , 
9949,10969,2010,448 BOULEVARD AVE SE,14 00210006106,14 002100061065,14 -0021-0006-106-5,5,A N A DEVELOPMENTS LLC, ,3020 ADRIATIC CT,NORCROSS GA 30071 1207, , ,348,C902,C3,C,923200,369280,168240,201040, ,0,0,1997, ,2010,6,0, ,106,20101028,14 00210006106,1.40E+12,448 BOULEVARD AVE SE, ,0, 14 00210006106,0,6106, ,14 002100061065,CONVENIENCE FOOD MARKET 348,W,Grant Park,1.40E+12,C,0, , , , 
11315,12402,2010,1460 BOULEVARD SE,14 00240002056,14 002400020563,14 -0024-0002-056-3,5,GARCIA WILLIAM, ,2102 ARGO DR,HAPEVILLE GA 30354, , ,347,C903,C3,C,488000,195200,144520,50680, ,0,0,1950, ,2010,6,0, ,56,20101028,14 00240002056,1.40E+12,1460 BOULEVARD SE, ,0, 14 00240002056,0,2056, ,14 002400020563,SUPERMARKET 347,W,Benteen Park,1.40E+12,C,0,Poor,Fair,Yes,N
11712,12501,2010,1362 BOULEVARD SE,14 00240005047,14 002400050479,14 -0024-0005-047-9,5,AZNA ENTERPRISES INC, ,1362 BOULEVARD SE,ATLANTA GA 30315, , ,348,C903,C3,C,750000,300000,79680,220320, ,0,0,1980, ,2010,6,0, ,47,20101028,14 00240005047,1.40E+12,1362 BOULEVARD SE, ,0, 14 00240005047,0,5047, ,14 002400050479,CONVENIENCE FOOD MARKET 348,W,Benteen Park,1.40E+12,C,0, , , , 
13329,13641,2010,807 CONLEY RD SE,14 0032  LL021,14 0032  LL0210,14 -0032-  LL-021-0,5,CONLEY COMMERCIAL HOLDINGS INC, ,807 CONLEY RD,ATLANTA GA 30354, , ,348,C905,C3,C,398300,159320,59760,99560, ,0.89,0,1958, ,2010,6,0, ,21,20101028,14 0032  LL021,140032LL021,807 CONLEY RD SE, ,0, 14 0032  LL021,0,L021, ,14 0032  LL0210,CONVENIENCE FOOD MARKET 348,Z,South River Gardens,140032LL021,C,0, , , , 
13372,13650,2010,3819 JONESBORO RD SE,14 0032  LL064,14 0032  LL0640,14 -0032-  LL-064-0,5,GJ FIFTY OIL LLC, ,130 SOUTHMOOR LANE,FAYETTEVILLE GA 30215, , ,348,C905,C3,C,1533000,613200,332400,280800, ,1.17,0,1997, ,2010,6,0, ,64,20101028,14 0032  LL064,140032LL064,3819 JONESBORO RD SE, ,0, 14 0032  LL064,0,L064, ,14 0032  LL0640,CONVENIENCE FOOD MARKET 348,Z,South River Gardens,140032LL064,C,photos\123\175269\img_rpt-shandra_at_tapinspect_dot_com-2012-5-15-12-23-36_1.jpg,Good,Good,Yes,N
13423,13665,2010,3843 JONESBORO RD SE,14 0032  LL095,14 0032  LL0954,14 -0032-  LL-095-4,5,BUDDYS INVESTMENTS INC, ,3843 JONESBORO RD,ATLANTA GA 30354, , ,348,C905,C3,C,975000,390000,190920,199080, ,0.83,0,1982, ,2010,J,0, ,95,20101028,14 0032  LL095,140032LL095,3843 JONESBORO RD SE, ,0, 14 0032  LL095,0,L095, ,14 0032  LL0954,CONVENIENCE FOOD MARKET 348,Z,South River Gardens,140032LL095,C,photos\123\175167\img_rpt-shandra_at_tapinspect_dot_com-2012-5-15-12-26-51_1.jpg,Good,Good,Yes,N
13453,14068,2010,3015 JONESBORO RD SE,14 00350001021,14 003500010215,14 -0035-0001-021-5,5,REHMAN RAZAUR, ,586 LANE ST,ROCKMART GA 30153, , ,348,C905,C3,C,405900,162360,79720,82640, ,0.99,0,1989, ,2010,6,0, ,21,20101028,14 00350001021,1.40E+12,3015 JONESBORO RD SE, ,0, 14 00350001021,0,1021, ,14 003500010215,CONVENIENCE FOOD MARKET 348,Z,Orchard Knob,1.40E+12,C,photos\123\175183\img_rpt-shandra_at_tapinspect_dot_com-2012-5-15-11-58-26_1.jpg,Good,Good,Yes,N
13503,14078,2010,3012 JONESBORO RD SE,14 00350001041,14 003500010413,14 -0035-0001-041-3,5,JONESBORO ROAD CENTER LLC, ,P O BOX 1565,LAWRENCEVILLE GA 30046 1565, , ,348,C905,C3,C,1003600,401440,335280,66160, ,1.01,0,1980, ,2010,6,0, ,41,20101028,14 00350001041,1.40E+12,3012 JONESBORO RD SE, ,0, 14 00350001041,0,1041, ,14 003500010413,CONVENIENCE FOOD MARKET 348,Z,South River Gardens,1.40E+12,C,photos\130\174791\img_rpt-tabatha_at_tapinspect_dot_com-2012-5-15-11-57-29_1.jpg,Good,Good,Yes,N
13623,13148,2010,2489 JONESBORO RD SE,14 0028  LL075,14 0028  LL0752,14 -0028-  LL-075-2,5,SON CHIL Y, ,594 WARD MEADE DR # SE,MARIETTA GA 30067 5057, , ,348,C905,C3,C,166100,66440,37160,29280, ,0.23,0,1975, ,2010,6,0, ,75,20101028,14 0028  LL075,140028LL075,2489 JONESBORO RD SE, ,0, 14 0028  LL075,0,L075, ,14 0028  LL0752,CONVENIENCE FOOD MARKET 348,Z,Browns Mill Park,140028LL075,C,photos\123\175237\img_rpt-shandra_at_tapinspect_dot_com-2012-5-15-11-28-14_1.jpg,Fair,No Structure,Yes,N
13766,12997,2010,2220 JONESBORO RD SE,14 00270001008,14 002700010082,14 -0027-0001-008-2,5,JENKINS JAMES E, ,2220 JONESBORO RD SE,ATLANTA GA 30315, , ,333,C904,C3,C,360700,144280,86240,58040, ,0.57,0,1980, ,2010,6,0, ,8,20101028,14 00270001008,1.40E+12,2220 JONESBORO RD SE, ,0, 14 00270001008,0,1008, ,14 002700010082,SERVICE STATION WITH BAYS 333,Z,Norwood Manor,1.40E+12,C,photos\130\174723\img_rpt-tabatha_at_tapinspect_dot_com-2012-5-15-11-19-11_1.jpg,Good,Good,Yes,N
14381,15729,2010,1465 BOULEVARD SE,14 00410010095,14 004100100950,14 -0041-0010-095-0,5,HENRICO MK L L C, ,80 SENOIA CT,SENOIA GA 30276, , ,348,C901,C3,C,605600,242240,161280,80960, ,0.34,0,2002, ,2010,6,0, ,95,20101028,14 00410010095,1.40E+12,1465 BOULEVARD SE, ,0, 14 00410010095,0,95, ,14 004100100950,CONVENIENCE FOOD MARKET 348,Y,Chosewood Park,1.40E+12,C,0, , , , 
15667,15047,2010,1867 JONESBORO RD SE,14 00390005090,14 003900050902,14 -0039-0005-090-2,5,TANNI ENTERPRISES INC, ,1885 JONESBORO RD,ATLANTA GA 30315, , ,348,C904,C3,C,222600,89040,40240,48800, ,0.41,0,1970, ,2010,6,0, ,90,20101028,14 00390005090,1.40E+12,1867 JONESBORO RD SE, ,0, 14 00390005090,0,5090, ,14 003900050902,CONVENIENCE FOOD MARKET 348,Y,Lakewood Heights,1.40E+12,C,photos\123\175056\img_rpt-shandra_at_tapinspect_dot_com-2012-5-15-10-57-55_1.jpg,Good,No Structure,Yes,N
17681,16819,2010,371 BOULEVARD SE,14 00440003075,14 004400030758,14 -0044-0003-075-8,05W,PARKASH OM TR, ,2310 HOPEWELL PLANTATION DR,O K OIL INC,ALPHARETTA GA 30004, ,348,CA06,C3,C,1246400,498560,242040,256520, ,0.65,0,1992, ,2010,6,0, ,75,20101028,14 00440003075,1.40E+12,371 BOULEVARD SE, ,0, 14 00440003075,0,3075, ,14 004400030758,CONVENIENCE FOOD MARKET 348,W,Grant Park,1.40E+12,C,0, , , , 
17815,18733,2010,111 BOULEVARD NE,14 00460012221,14 004600122215,14 -0046-0012-221-5,05W,BAY COUNTY ENTERPRISES L L C, ,3970 ROGERS BRIDGE RD,DULUTH GA 30097, , ,333,CA05,C3,C,911200,364480,5360,359120, ,0,0,1990, ,2010,6,0, ,221,20101028,14 00460012221,1.40E+12,111 BOULEVARD NE, ,0, 14 00460012221,0,2221, ,14 004600122215,SERVICE STATION WITH BAYS 333,M,Old Fourth Ward,1.40E+12,C,photos\163\195906\img_rpt-user22_at_apdsolutions_dot_com-2012-8-7-12-57-31_1.jpg,Good,Good,No,N
18650,18537,2010,400 EDGEWOOD AVE NE,14 00460010239,14 004600102399,14 -0046-0010-239-9,05W,FOUR HUNDRED EDGEWOOD LLC, ,615 CROYDON LN,ALPHARETTA GA 30022, , ,348,CA05,C3,C,493500,197400,34280,163120, ,0,0,1962, ,2010,6,0, ,239,20101028,14 00460010239,1.40E+12,400 EDGEWOOD AVE NE, ,0, 14 00460010239,0,239, ,14 004600102399,CONVENIENCE FOOD MARKET 348,M,Sweet Auburn,1.40E+12,C,photos\27\124663\img_rpt-rrdw777_at_gmail_dot_com-2012-2-25-11-58-28_1.jpg,Good,Good,Yes,N
18702,17700,2010,345 EDGEWOOD AVE SE,14 00450001009,14 004500010098,14 -0045-0001-009-8,05W,G G WHITE L L C, ,P.O. BOX 43330,ATLANTA GA 30336, , ,348,CA05,C3,C,707600,283040,103040,180000, ,0.23,0,1920, ,2010,6,0, ,9,20101028,14 00450001009,1.40E+12,345 EDGEWOOD AVE SE, ,0, 14 00450001009,0,1009, ,14 004500010098,CONVENIENCE FOOD MARKET 348,M,Sweet Auburn,1.40E+12,C,photos\123\151476\img_rpt-shandra_at_tapinspect_dot_com-2012-4-11-11-18-20_1.jpg,Good,Good,Yes,N
18861,17736,2010,377 EDGEWOOD AVE SE,14 00450002001,14 004500020014,14 -0045-0002-001-4,05W,THREE SEVENTY SEVEN EDGEWOOD, ,332 FOURTH ST # 8,ATLANTA GA 30308, , ,333,CA05,H3,H,389100,80480,13560,66920, ,0,0,1950, ,2010,6,0, ,1,20101028,14 00450002001,1.40E+12,377 EDGEWOOD AVE SE, ,0, 14 00450002001,0,2001, ,14 004500020014,SERVICE STATION WITH BAYS 333,M,Sweet Auburn,1.40E+12,C,photos\123\151489\img_rpt-shandra_at_tapinspect_dot_com-2012-4-11-11-22-58_1.jpg,Good,Good,Yes,N
19758,19591,2010,605 BOULEVARD NE,14 00470003135,14 004700031357,14 -0047-0003-135-7,5,BERHANU SHEFERAW H, ,605 BOULEVARD AVE,ATLANTA GA 30308, , ,326,CA03,C3,C,1036800,414720,154320,260400, ,0,0,1985, ,2010,6,0, ,135,20101028,14 00470003135,1.40E+12,605 BOULEVARD NE, ,0, 14 00470003135,0,3135, ,14 004700031357,CONVENIENCE / FAST FOOD MARKET 326*,M,Old Fourth Ward,1.40E+12,C,photos\162\195690\img_rpt-user10_at_apdsolutions_dot_com-2012-8-8-0-52-36_1.jpg,Good,Good,Yes,N
19773,19813,2010,356 BOULEVARD NE,14 00470008126,14 004700081261,14 -0047-0008-126-1,5,BOULEVARD C STORE INC, ,80 SENOIA CT,SENOIA GA 30276, , ,348,CA03,C3,C,1000000,400000,98920,301080, ,0.9,0,1976, ,2010,6,0, ,126,20101028,14 00470008126,1.40E+12,356 BOULEVARD NE, ,0, 14 00470008126,0,8126, ,14 004700081261,CONVENIENCE FOOD MARKET 348,M,Old Fourth Ward,1.40E+12,C,photos\162\196864\img_rpt-user10_at_apdsolutions_dot_com-2012-8-7-12-53-36_1.jpg,Good,Good,Yes,N
21061,20953,2010,486 PONCE DE LEON AVE NE,14 00480007081,14 004800070818,14 -0048-0007-081-8,5,HENRICO M K  L L C, ,80 SENOIA CT,SENOIA GA 30276, , ,348,CA02,C3,C,1109200,443680,27800,415880, ,0.47,0,1991, ,2010,6,0, ,81,20101028,14 00480007081,1.40E+12,486 PONCE DE LEON AVE NE, ,0, 14 00480007081,0,7081, ,14 004800070818,CONVENIENCE FOOD MARKET 348,E,Midtown,1.40E+12,C,photos\30\115340\img_rpt-thknowles_at_yahoo_dot_com-2012-2-18-12-51-3_2.jpg,Good,Good,Yes,N
21122,21183,2010,513 PONCE DE LEON AVE NE,14 00480011070,14 004800110705,14 -0048-0011-070-5,5,JODACO INC, ,P.O. BOX 130,NEWNAN GA 30264, , ,348,CA02,C3,C,293000,117200,88200,29000, ,0,0,1978, ,2010,6,0, ,70,20101028,14 00480011070,1.40E+12,513 PONCE DE LEON AVE NE, ,0, 14 00480011070,0,1070, ,14 004800110705,CONVENIENCE FOOD MARKET 348,M,Old Fourth Ward,1.40E+12,C,0, , , , 
22489,23606,2010,180 PONCE DE LEON AVE,14 00490010132,14 004900101323,14 -0049-0010-132-3,5,ONE TEN SERVICE INC, ,180 PONCE DE LEON AVE,ATLANTA GA 30308, , ,348,CB03,C3,C,1800000,720000,124600,595400, ,0,0,2002, ,2010,P,0, ,132,20101028,14 00490010132,1.40E+12,180 PONCE DE LEON AVE, ,0, 14 00490010132,0,132, ,14 004900101323,CONVENIENCE FOOD MARKET 348,E,Midtown,1.40E+12,C,0, , , , 
22728,23478,2010,160 PONCE DE LEON AVE NE,14 00490009033,14 004900090336,14 -0049-0009-033-6,5,PONCE DE LEON 00791 LLC, ,16413 N NINETY FIRST ST SUITE C-140,SCOTTSDALE AZ 85260, , ,348,CB03,C3,C,1608000,643200,81880,561320, ,0,0,2004, ,2010,6,0, ,33,20101028,14 00490009033,1.40E+12,160 PONCE DE LEON AVE NE, ,0, 14 00490009033,0,9033, ,14 004900090336,CONVENIENCE FOOD MARKET 348,E,Midtown,1.40E+12,C,0, , , , 
24442,24812,2010,150 PINE ST NE,14 00500005018,14 005000050187,14 -0050-0005-018-7,05F,REEVE JAMES J JR, ,1246 CUMBERLAND RD NE,ATLANTA GA 30306, , ,326,CB07,C3,C,278900,111560,1120,110440, ,0.13,0,0, ,2010,6,0, ,18,20101028,14 00500005018,1.40E+12,150 PINE ST NE, ,0, 14 00500005018,0,5018, ,14 005000050187,CONVENIENCE / FAST FOOD MARKET 326*,M,Downtown,1.40E+12,C,0, , , , 
26804,25427,2010,160 JOHN WESLEY DOBBS,14 00510008097,14 005100080977,14 -0051-0008-097-7,05F,FRANKLIN ROAD AMOCO INC, ,160 JOHN WESLEY DOBBS,ATLANTA GA 30303, , ,348,CB04,C3,C,1290300,516120,73400,442720, ,0,0,1955, ,2010,6,2, ,97,20101028,14 00510008097,1.40E+12,160 JOHN WESLEY DOBBS, ,0, 14 00510008097,0,8097, ,14 005100080977,CONVENIENCE FOOD MARKET 348,M,Downtown,1.40E+12,C,0, , , , 
26952,26080,2010,241 MEMORIAL DR SE,14 00530003109,14 005300031093,14 -0053-0003-109-3,05W,JACKSON & JACKSON L L C, ,221 NORTH THIRD ST,FERNANDINA BEACH FL 32034, , ,348,CA06,C3,C,458800,183520,57160,126360, ,0,0,1958, ,2010,6,0, ,109,20101028,14 00530003109,1.40E+12,241 MEMORIAL DR SE, ,0, 14 00530003109,0,3109, ,14 005300031093,CONVENIENCE FOOD MARKET 348,W,Grant Park,1.40E+12,C,0, , , , 
26953,26081,2010,387 HILL ST SE,14 00530003110,14 005300031101,14 -0053-0003-110-1,05W,GEORGIA-ALABAMA COMMERCIAL INVESTMENTS, ,2875 UNIVERSITY PKWY,LAWRENCEVILLE GA 30043, , ,348,CA06,C3,C,1042500,417000,184360,232640, ,0,0,2004, ,2010,6,0, ,110,20101028,14 00530003110,1.40E+12,387 HILL ST SE, ,0, 14 00530003110,0,3110, ,14 005300031101,CONVENIENCE FOOD MARKET 348,W,Grant Park,1.40E+12,C,photos\51\1371\img_rpt-javioushill_at_yahoo_dot_com-2011-12-7-14-2-50_1.jpg,Good,Good,Yes,N
26954,26082,2010,364 HILL ST SE,14 00530003111,14 005300031119,14 -0053-0003-111-9,05W,OMKAR SINGH ENTERPRISES INC, ,364 HILL ST,ATLANTA GA 30312, , ,348,CA06,C3,C,689200,275680,67760,207920, ,0,0,1987, ,2010,6,0, ,111,20101028,14 00530003111,1.40E+12,364 HILL ST SE, ,0, 14 00530003111,0,3111, ,14 005300031119,CONVENIENCE FOOD MARKET 348,W,Grant Park,1.40E+12,C,photos\51\1390\img_rpt-javioushill_at_yahoo_dot_com-2011-12-7-14-0-53_1.jpg,Good,Good,Yes,N
27642,28425,2010,105 MC DONOUGH BLVD SE,14 00560005061,14 005600050611,14 -0056-0005-061-1,5,JOHNSON HERMAN SR, ,105 MCDONOUGH BLV SE,ATLANTA GA 30315, , ,333,C901,C3,C,162600,65040,21360,43680, ,0.18,0,1950, ,2010,6,0, ,61,20101028,14 00560005061,1.40E+12,105 MC DONOUGH BLVD SE, ,0, 14 00560005061,0,5061, ,14 005600050611,SERVICE STATION WITH BAYS 333,Y,South Atlanta,1.40E+12,C,0, , , , 
27749,28458,2010,306 MILTON AVE SE,14 00560007023,14 005600070239,14 -0056-0007-023-9,5,FOUCH BERNICE, ,745 LEE ANDREWS AVE SE,ATLANTA GA 30315, , ,334,C901,C3,C,26700,10680,2240,8440, ,0.04,0,1933, ,2010,6,0, ,23,20101028,14 00560007023,1.40E+12,306 MILTON AVE SE, ,0, 14 00560007023,0,7023, ,14 005600070239,SERVICE STATION W/O BAYS 334,Y,Chosewood Park,1.40E+12,C,0, , , , 
